Message Type,Transmission Type,Session ID,AircraftID,HexIdnet,FlightID,Date MSG Generated,Time MSG Generated,Time MSG Received,Time MSG Received,a,b,c,d,Latitude,Longitude,e,f,g,h,i,j,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:53.2,10/1/2018,33:53.2,,,436,19,,,1920,,,,,0,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:53.3,10/1/2018,33:53.3,,,377,18,,,2688,,,,,0,,,,,,
MSG,6,1,1,7C6C2B,1,10/1/2018,33:53.3,10/1/2018,33:53.3,,,,,,,,1416,0,0,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:53.3,10/1/2018,33:53.3,,,,,,,,1333,0,0,0,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:53.3,10/1/2018,33:53.3,,24100,,,,,,,0,,0,,,,,,,
MSG,8,1,1,7C6C2B,1,10/1/2018,33:53.4,10/1/2018,33:53.5,,,,,,,,,,,,0,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:53.5,10/1/2018,33:53.5,,25200,,,,,,,0,,0,,,,,,,
MSG,8,1,1,7C089A,1,10/1/2018,33:53.5,10/1/2018,33:53.6,,,,,,,,,,,,0,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:53.6,10/1/2018,33:53.6,,25225,,,-32.99066,151.71751,,,0,,0,0,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:53.7,10/1/2018,33:53.7,,,436,19,,,1920,,,,,0,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:53.8,10/1/2018,33:53.8,,,378,18,,,2688,,,,,0,,,,,,
MSG,8,1,1,7C6D9D,1,10/1/2018,33:53.9,10/1/2018,33:53.9,,,,,,,,,,,,0,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:53.9,10/1/2018,33:53.9,,24125,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:53.9,10/1/2018,33:54.0,,,440,15,,,,1333,0,0,0,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:53.9,10/1/2018,33:54.0,,24125,,,,,2240,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:53.9,10/1/2018,33:54.0,,25225,,,,,,,0,,0,,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:53.9,10/1/2018,33:54.0,,10500,,,,,,,,,,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:53.9,10/1/2018,33:54.0,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:53.9,10/1/2018,33:54.0,,10500,,,,,,,,,,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:53.9,10/1/2018,33:54.0,,25225,342,230,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:54.0,10/1/2018,33:54.0,,,,,,,,1305,0,0,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:54.0,10/1/2018,33:54.0,,25225,342,230,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:54.0,10/1/2018,33:54.0,,,,,,,,1305,0,0,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:54.0,10/1/2018,33:54.0,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,3,1,1,7C089A,1,10/1/2018,33:54.0,10/1/2018,33:54.1,,24125,,,-33.20558,151.81891,,,0,,0,0,,,,,,
